Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned in Classrooms,,"Nault, Renee",,Texas,Leander Independent School District,September 2021,Administrator
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,"Nault, Renee",,Texas,North East Independent School District,December 2021,Administrator
"Atwood, Margaret",The Testaments,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Atwood, Margaret",The Testaments,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Atwood, Megan",Raise the Stakes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Austrian, J.J.",Worm Loves Worm,Banned in Classrooms,,"Curato, Mike",,Florida,Lee County Schools,March 2022,Administrator
"Austrian, J.J.",Worm Loves Worm,Banned Pending Investigation,,"Curato, Mike",,Florida,Walton County School District,April 2022,Administrator
"Azmitia, M.",Rising Out,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Bailey, Jacqui","Sex, Puberty, and All That Stuff: A Guide to Growing Up",Banned in Libraries,,"McCafferty, Jan",,Texas,North East Independent School District,December 2021,Administrator
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Banned in Classrooms,,"Malenfant, Isabelle",,Pennsylvania,Central York School District,August 2021,Administrator
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Banned Pending Investigation,,"Malenfant, Isabelle",,Texas,North East Independent School District,December 2021,Administrator
"Banaji, Mahzarin R.",Blindspot: Hidden Biases of Good People,Banned in Classrooms,"Greenwald, Anthony G.",,,Pennsylvania,Central York School District,August 2021,Administrator
"Barakiva, Michael",One Man Guy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Bardoe, Cheryl",Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,Banned in Classrooms,,"McClintock, Barbara",,Pennsylvania,Central York School District,August 2021,Administrator
"Bardugo, Leigh",Six of Crows (Six of Crows Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Barnes, Derrick","Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)",Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator
"Barnes, Derrick",Crown: An Ode to the Fresh Cut,Banned in Classrooms,,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Administrator
"Barnes, Derrick",I Am Every Good Thing,Banned in Classrooms,,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Administrator
"Barnes, Derrick",Ruby Flips For Attention (Ruby and the Booker Boys Series),Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator
"Barnes, Derrick",Slumber Party Payback (Ruby and the Booker Boys Series),Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator
"Barnes, Derrick","Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator
"Barnwell, Ysaye M.",No Mirrors in My Nana's House: Musical CD and Book,Banned in Classrooms,,"Saint James, Synthia",,Pennsylvania,Central York School District,August 2021,Administrator
"Barrie, James Matthew",Peter Pan,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Barton, Bree",Heart of Thorns (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Barton, Bree",Soul of Cinder (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Barton, Bree",Tears of Frost (Heart of Thorns Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Barzak, Christopher",Wonders of the Invisible World,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Bashardoust, Melissa",Girls Made of Snow and Glass,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Beashel, Amy",The Sky Is Mine,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Beaty, Andrea","Sofia Valdez, Future Prez (Questioneers Picture Books Series)",Banned in Classrooms,,"Roberts, David",,Pennsylvania,Central York School District,August 2021,Administrator
"Beaty, Daniel",Knock Knock: My Dad's Dream for Me,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administrator
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator
