Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Jewell, Tiffany","This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work",Banned Pending Investigation,,"Durand, Aurelia",,Texas,North East Independent School District,December 2021,Administrator
"Jiang, Ji-li","Red Kite, Blue Kite",Banned in Classrooms,,"Ruth, Greg",,Pennsylvania,Central York School District,August 2021,Administrator
"Johnshon, Chelsea,",IntersectionAllies: We Make Room for All,Banned in Classrooms,"Council, LaToya; Choi, Carolyn","Seil Smith, Ashley",,Pennsylvania,Central York School District,August 2021,Administrator
"Johnson, Angela",A Sweet Smell of Roses,Banned Pending Investigation,,"Velásquez, Eric",,Florida,Duval County Public Schools,January 2022,Administrator
"Johnson, Cathy G.",The Breakaways,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Johnson, Cathy G.",The Breakaways,Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge
"Johnson, Cathy G.",The Breakaways,Banned Pending Investigation,,,,Missouri,Rockwood School District,October 2021,Formal Challenge
"Johnson, Cathy G.",The Breakaways,Banned in Libraries,,,,Texas,Clear Creek Independent School District,October 2021,Administrator
"Johnson, Cathy G.",The Breakaways,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator
"Johnson, Cathy G.",The Breakaways,Banned in Libraries,,,,Texas,Katy Independent School District,November 2021,Administrator
"Johnson, Cathy G.",The Breakaways,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator
"Johnson, Cathy G.",The Breakaways,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Johnson, Cathy G.",The Breakaways,Banned in Libraries and Classrooms,,,,Texas,Spring Branch Independent School District,September 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Florida,Clay County District Schools,December 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Florida,Flagler Schools,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Florida,Orange County Public Schools,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Iowa,Waukee Community School District,October 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Maryland,Wicomico County Public Schools,February 2022,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Missouri,North Kansas City Schools,October 2021,Formal Challenge
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge
"Johnson, George M.",All Boys Aren't Blue,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Pennsylvania,East Stroudsburg Area School District,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Pennsylvania,North Penn School District,September 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Texas,Denton Independent School District,December 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Texas,Tyler Independent School District,November 2021,Administrator
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Utah,Granite School District,October 2021,Formal Challenge
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Washington,Kent School District,January 2022,Administrator
"Johnson, George M.",We Are Not Broken,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Johnson, Kathleen Jeffrie",Target,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Johnson, Kim",This Is My America,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Johnson, Kim",This Is My America,Banned in Classrooms,,,,Pennsylvania,Pennridge School District,August 2021,Administrator
"Johnson, Lana Wood",Speak for Yourself,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Johnson, Leah",Rise to the Sun,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Johnson, Leah",You Should See Me in a Crown,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Johnson, R. Kikuo",The Shark King,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Johnson, Varian",My Life as a Rhombus,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Johnson, Varian",The Parker Inheritance,Banned in Classrooms,,,,North Carolina,Wilkes County School District,April 2022,Administrator
"Johnson, Varian",The Parker Inheritance,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Johnson, Varian",What Were the Negro Leagues? (What was...? Series),Banned in Classrooms,,"Marchesi, Stephen",,Pennsylvania,Central York School District,August 2021,Administrator
"Johnston, E. K",That Inevitable Victorian Thing,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Johnston, E. K",The Afterward,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Johnston, E. K.","Exit, Pursued by a Bear",Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Johnston, Tony",Any Small Goodness: A Novel of the Barrio,Banned Pending Investigation,,"Colon, Raul",,Florida,Duval County Public Schools,January 2022,Administrator
"Johnston, Tony",Day of the Dead,Banned Pending Investigation,,"Winter, Jeanette",,Florida,Duval County Public Schools,January 2022,Administrator
"Jones, Adam Garnet",Fire Song,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Jones, Carrie",Tips on Having a Gay (Ex) Boyfriend (Belle Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Jones, Jaida",Master of One,Banned Pending Investigation,"Bennett, Danielle",,,Tennessee,Collierville Schools,February 2022,Administrator
"Jones, Kelly",Unusual Chickens for the Exceptional Poultry Farmer (Unusual Chickens Series),Banned Pending Investigation,,"Kath, Katie",,Florida,Duval County Public Schools,January 2022,Administrator
"Jones, Patrick",Combat Zone,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Joosten, Michael",My Two Dads and Me,Banned Pending Investigation,,"Zenou, Izak",,Florida,Duval County Public Schools,January 2022,Administrator
"Joosten, Michael",My Two Moms and Me,Banned Pending Investigation,,"Zenou, Izak",,Florida,Duval County Public Schools,January 2022,Administrator
"Jordan-Fenton, Christy",Fatty Legs: A True Story,Banned Pending Investigation,"Pokiak-Fenton, Margaret","Amini-Holmes, Liz",,Florida,Duval County Public Schools,January 2022,Administrator
"Joseph, Lynn",The Color of My Words,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Juby, Susan",Another Kind of Cowboy,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Juby, Susan",Another Kind of Cowboy,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Juby, Susan",Another Kind of Cowboy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Juettner, Bonnie",Abortion,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Jules, Jacqueline",Abuela's Birthday (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Abuela's Special Letters (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Every Day Is Exciting (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Hector's Hiccups (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Lights Out (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",My Family Adventure (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",My Fantástica Family (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",My Vida Loca (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Never Say a Mean Word Again: A Tale from Medieval Spain,Banned Pending Investigation,,"Bernhard, Durga Yael",,Florida,Duval County Public Schools,January 2022,Administrator
"Jules, Jacqueline",Picture Perfect (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Shopping Trip Trouble (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Singing Superstar (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",Sofia's Party Shoes (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",The Beach Trip (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",The Marigold Mess (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",The Missing Mouse (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"Jules, Jacqueline",The Secret Recipe (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
"June, Jason",Jay's Gay Agenda,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Kahn, Hena",Amina's Voice (Amina's Voice Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Kaiser, Lisbeth","Maya Angelou (Little People, Big Dreams Series)",Banned in Classrooms,,"Salaberria, Leire",,Pennsylvania,Central York School District,August 2021,Administrator
Kaito,"Blue Flag, Vol. 1 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
Kaito,"Blue Flag, Vol. 2 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
Kaito,"Blue Flag, Vol. 3 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
Kaito,"Blue Flag, Vol. 4 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
Kaito,"Blue Flag, Vol. 5 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
Kaito,"Blue Flag, Vol. 6 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
Kaito,"Blue Flag, Vol. 7 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
"Kann, Claire",Let's Talk About Love,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Kann, Claire",Let's Talk About Love,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Kann, Claire",The Marvelous,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Karcz, Lauren",The Gallery of Unfinished Girls,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Karre, Elizabeth",The Fight (Surviving Southside Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Katcher, Brian",Almost Perfect,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator
"Katcher, Brian",Almost Perfect,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
"Katcher, Brian",Almost Perfect,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Katcher, Brian",Almost Perfect,Banned in Libraries,,,,North Carolina,Iredell-Statesville School District,February 2022,Administrator
"Katcher, Brian",Almost Perfect,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Katcher, Brian",Almost Perfect,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Katz, Karen",Los colores de nuestra piel/The Colors of Us (Spanish Version),Banned in Classrooms,,,"Marfà Pagès, Fina",Pennsylvania,Central York School District,August 2021,Administrator
"Katz, Karen",The Colors of Us/Los colores de nuestra piel,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,April 2022,Administrator
"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,April 2022,Administrator
"Kay, Matthew R.","Not Light, but Fire: How to Lead Meaningful Race Conversations in the Classroom",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Keil, Melissa",Life in Outer Space,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Keil, Michelle Ruiz",Summer in the City of Roses,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Kemmerer, Brigid",More Than We Can Tell,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Kendi, Ibram X.",How to Be an Antiracist,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned Pending Investigation,,,,Florida,Flagler Schools,November 2021,Administrator
"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Kepnes, Caroline",You: A Novel of Dark Obsession (You Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
"Kern, Peggy",The Test (Bluford High Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Kerr, M. E.","Hello, I Lied",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Keyser, Amber J.",Underneath It All: A History of Women's Underwear,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Khalil, Aya",The Arabic Quilt: An Immigrant Story,Banned in Classrooms,,"Semirdzhyan, Anait",,Pennsylvania,Central York School District,August 2021,Administrator
"Khan-Cullors, Patrisse",When They Call You a Terrorist (Young Adult Edition): A Story of Black Lives Matter and the Power to Change the World,Banned Pending Investigation,"Bandele, Asha",,,Tennessee,Collierville Schools,February 2022,Administrator
"Khan, Brooke",Home of the Brave: 15 Immigrants Who Shaped U.S. History,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Khan, Hena",Like the Moon Loves the Sky,Banned in Classrooms,,"Khan, Saffa",,Pennsylvania,Central York School District,August 2021,Administrator
"Khan, Hena",Under My Hijab,Banned in Classrooms,,"Jaleel, Aaliya",,Pennsylvania,Central York School District,August 2021,Administrator
"Khan, Rukhsana",Big Red Lollipop,Banned Pending Investigation,,"Blackall, Sophie",,Florida,Duval County Public Schools,January 2022,Administrator
"Khan, Sabina",The Love and Lies of Rukhsana Ali,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Khorram, Adib",Darius the Great Is Not Okay (Darius the Great Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Kiely, Brendan",The Other Talk: Reckoning with Our White Privilege,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Kilbourne, Christina",They Called Me Red,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Kilodavis, Cheryl",My Princess Boy,Banned in Libraries and Classrooms,,"DeSimone, Suzanne",,Florida,Broward County Public Schools,June 2022,Administrator
"King, A. S.",Ask the Passengers,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"King, A. S.",Ask the Passengers,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"King, A. S.",Ask the Passengers,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"King, A. S.",Everybody Sees the Ants,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administrator
"King, A. S.",Everybody Sees the Ants,Banned in Classrooms,,,,Texas,Richardson Independent School District,September 2021,Administrator
"King, Dedie",I See the Sun in Afghanistan,Banned Pending Investigation,,"Inglese, Judith","Vahidi, Mohd",Florida,Duval County Public Schools,January 2022,Administrator
"King, Stephen",Elevation,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Kissinger, Katie",All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Kissinger, Katie",All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version),Banned in Classrooms,,"Krutein, Wernher",,Pennsylvania,Central York School District,August 2021,Administrator
"Klehr, Dawn",The Cutting Room Floor,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Klein, Rebecca T.",Transgender Rights and Protections,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Klise, James",Love Drugged,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Kluger, Steve","My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Kluger, Steve","My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Klune, T. J.",The Extraordinaries (The Extraordinaries Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Knight, Traci M.","RIPPED-APART Understanding, Coping and Living with Gender Dysphoria",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Knowles, Jo",Jumping Off Swings (Jumping Off Swings Series),Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Knowles, Jo",Pearl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Knowles, Jo",See You at Harry's,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Alaska,Anchorage School District,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Florida,Brevard Public Schools,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Florida,Orange County Public Schools,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Florida,Pinellas County Schools,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Idaho,West Ada School District,February 2022,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Illinois,Community High School District 117,December 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Illinois,Harlem School District 122,March 2022,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,,,,Illinois,Lake Forest Schools,December 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Iowa,Ankeny Community School District,November 2021,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,,,,Iowa,Waukee Community School District,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Maine,Regional School Unit No. 56,June 2022,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,New York,Connetquot Central School District,April 2022,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,New York,Wappingers Central School District,March 2022,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Ohio,Hudson City Schools,September 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,East Stroudsburg Area School District,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Pennsylvania,Fairview School District,June 2022,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Kutztown Area School District,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,,,,Pennsylvania,North Penn School District,September 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Wissahickon School District,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,South Carolina,Fort Mill Schools,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Canutillo Independent School District,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Clear Creek Independent School District,December 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Fort Bend ISD,January 2022,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,January 2022,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Spring Branch Independent School District,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Fairfax County Public Schools,September 2021,Formal Challenge
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Hanover County Public Schools,January 2022,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Harrisonburg City Public Schools,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Virginia,Loudoun County Public Schools,September 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Washington,Central Kitsap School District,November 2021,Administrator
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Washington,Walla Walla Public Schools,February 2022,Formal Challenge
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Konigsberg, Bill",Honestly Ben (Openly Straight Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Konigsberg, Bill",Openly Straight (Openly Straight Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
